rank,jugador,equipo,iso2,bandera,goles,asistencias,nota
1,Kylian Mbappe,France,fr,🇫🇷,10,4,Ganador Bota de Oro. Maximo goleador historico del Mundial (22 en su carrera).
2,Lionel Messi,Argentina,ar,🇦🇷,8,4,2do lugar. Establecio el record de goleador historico del Mundial durante el torneo.
3,Jude Bellingham,England,gb-eng,🏴󠁧󠁢󠁥󠁮󠁧󠁿,7,1,Maximo goleador ingles en un solo Mundial.
4,Erling Haaland,Norway,no,🇳🇴,7,0,
5,Ousmane Dembele,France,fr,🇫🇷,6,0,
6,Harry Kane,England,gb-eng,🏴󠁧󠁢󠁥󠁮󠁧󠁿,6,0,Supero a Gary Lineker como maximo goleador historico de Inglaterra.
7,Mikel Oyarzabal,Spain,es,🇪🇸,5,0,
8,Ismaila Sarr,Senegal,sn,🇸🇳,4,0,
9,Julian Quinones,Mexico,mx,🇲🇽,4,0,
10,Vinicius Junior,Brazil,br,🇧🇷,4,0,
11,Bukayo Saka,England,gb-eng,🏴󠁧󠁢󠁥󠁮󠁧󠁿,3,0,
12,Romelu Lukaku,Belgium,be,🇧🇪,3,0,
13,Lautaro Martinez,Argentina,ar,🇦🇷,3,0,
14,Cody Gakpo,Netherlands,nl,🇳🇱,3,0,
15,Bradley Barcola,France,fr,🇫🇷,3,0,
16,Matheus Cunha,Brazil,br,🇧🇷,3,0,
17,Raul Jimenez,Mexico,mx,🇲🇽,3,0,
18,Kai Havertz,Germany,de,🇩🇪,3,0,
19,Jonathan David,Canada,ca,🇨🇦,3,0,
20,Charles De Ketelaere,Belgium,be,🇧🇪,3,0,
